"Company_id"|"Company_name"|"Ctry_Code"|"Worldrank"|"ICB3"|"NACE2"|"ISIC4_STAN38"
"1"|"ZUMTOBEL"|"AT"|"851"|"2730"|"2740"|"27"
"2"|"ANDRITZ"|"AT"|"892"|"2750"|"2895"|"28"
"3"|"AUSTRIAMICROSYSTEMS"|"AT"|"1023"|"9570"|"2611"|"26"
"4"|"AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK"|"AT"|"1173"|"2730"|"2612"|"26"
"5"|"VOESTALPINE"|"AT"|"596"|"1750"|"2452"|"24-25"
"6"|"KTM"|"AT"|"1404"|"3350"|"3091"|"29-30"
"7"|"NOVOMATIC"|"AT"|"963"|"5750"|"7010"|"69-71"
"8"|"KAPSCH TRAFFICCOM"|"AT"|"1235"|"2730"|"6190"|"61"
"9"|"BOREALIS"|"AT"|"748"|"1350"|"6420"|"64-66"
"10"|"BENTELER INTERNATIONAL"|"AT"|"783"|"3350"|"6420"|"64-66"
"11"|"AMCOR"|"AU"|"1151"|"2720"|"1729"|"16-18"
"12"|"COCHLEAR"|"AU"|"875"|"4530"|"3250"|"31-33"
"13"|"ARISTOCRAT LEISURE"|"AU"|"794"|"5750"|"9200"|"90-93"
"14"|"NATIONAL AUSTRALIA BANK"|"AU"|"230"|"8350"|"6419"|"64-66"
"15"|"ARRIUM"|"AU"|"692"|"1750"|"2420"|"24-25"
"16"|"AUSTRALIA & NEW ZEALAND BANKING"|"AU"|"208"|"8350"|"6419"|"64-66"
"17"|"COMPUTERSHARE"|"AU"|"1134"|"9530"|"5829"|"58-60"
"18"|"CSL"|"AU"|"270"|"4570"|"2120"|"21"
"19"|"TELSTRA"|"AU"|"165"|"9570"|"6190"|"61"
"20"|"AMP"|"AU"|"881"|"8570"|"6511"|"64-66"
"21"|"NUFARM"|"AU"|"1211"|"1350"|"2015"|"20"
"22"|"COMMONWEALTH BANK OF AUSTRALIA"|"AU"|"275"|"8350"|"6419"|"64-66"
"23"|"PROXIMUS"|"BE"|"899"|"6530"|"6190"|"61"
"24"|"UMICORE"|"BE"|"573"|"1750"|"0729"|"05-09"
"25"|"DELHAIZE"|"BE"|"1459"|"5330"|"4711"|"45-47"
"26"|"UCB"|"BE"|"155"|"4570"|"2120"|"21"
"27"|"SOLVAY"|"BE"|"355"|"1350"|"2120"|"21"
"28"|"KBC"|"BE"|"1207"|"8350"|"6420"|"64-66"
"29"|"AGFA-GEVAERT"|"BE"|"581"|"2730"|"2670"|"26"
"30"|"BEKAERT"|"BE"|"1156"|"1750"|"2434"|"24-25"
"31"|"ANHEUSER-BUSCH INBEV"|"BE"|"490"|"3530"|"1105"|"10-12"
"32"|"BARCO"|"BE"|"848"|"2730"|"2630"|"26"
"33"|"XTRION"|"BE"|"1266"|"9570"|"6203"|"62-63"
