Design_id|Locarno_class
611461|15-07
617852|14-03
617884|14-02
617885|14-02
617892|24-02
617893|24-02
617894|24-02
617895|24-02
617896|24-02
617897|24-02
617898|24-02
617899|24-02
617900|24-02
617901|24-02
617902|24-02
617903|24-02
617904|24-02
617905|24-02
617906|24-02
617907|24-02
617908|24-02
617909|24-02
617910|24-02
617911|24-02
617912|24-02
617913|24-02
617914|24-02
617915|24-02
617916|24-02
617917|24-02
617918|24-02
617919|24-02
617920|24-02
617921|24-02
617922|24-02
617923|24-02
617924|24-02
617925|24-02
617926|24-02
617927|24-02
617928|24-02
617929|24-02
617930|24-02
617931|24-02
617932|24-02
617933|24-02
617934|24-02
617935|24-02
617936|24-02
617937|24-02
617938|24-02
617939|24-02
617940|24-02
617941|24-02
617942|24-02
617943|24-02
617944|24-02
617945|24-02
617946|24-02
617947|24-02
617948|24-02
617949|24-02
617950|24-02
617951|24-02
617952|24-02
617953|24-02
617954|24-02
617955|24-02
617956|24-02
617957|24-02
617958|24-02
617959|24-02
617960|24-02
617961|24-02
617962|24-02
617963|24-02
617964|24-02
617965|24-02
617966|24-02
617967|24-02
617968|24-02
617969|24-02
617970|24-02
617971|24-02
617972|24-02
617973|24-02
617974|24-02
617975|24-02
617976|24-02
617977|14-02
617978|14-02
617979|14-02
617980|14-02
617992|24-02
617993|24-02
617994|24-02
617995|24-02
617996|24-02
617997|24-02
617998|24-02
617999|24-02
618000|24-02
618001|24-02
618002|24-02
618003|24-02
618004|24-02
618005|24-02
618006|24-02
618007|24-02
618008|24-02
618009|24-02
618010|24-02
618011|24-02
618012|24-02
618013|24-02
618014|24-02
618015|24-02
618016|24-02
618017|24-02
618018|24-02
618019|24-02
618020|24-02
618021|24-02
618022|24-02
618023|24-02
618024|24-02
618025|24-02
618026|24-02
618027|24-02
618028|24-02
618029|24-02
618030|24-02
618031|24-02
618032|24-02
618033|24-02
618034|24-02
618035|24-02
618036|24-02
618037|24-02
618038|24-02
618039|24-02
618040|24-02
618041|24-02
618042|24-02
618043|24-02
618044|24-02
618045|24-02
618046|24-02
618047|24-02
618048|24-02
618049|24-02
618050|24-02
618051|24-02
618052|24-02
618053|24-02
618054|24-02
618055|24-02
618056|24-02
618057|24-02
618058|24-02
618059|24-02
618060|24-02
618061|24-02
618062|24-02
618063|24-02
618064|24-02
618065|24-02
618066|24-02
618067|24-02
618068|24-02
618069|24-02
618101|14-02
618102|14-02
618108|13-02
618109|13-02
618110|13-02
618111|26-05
618112|26-05
618113|26-05
618114|14-03
618115|14-03
618116|14-03
618117|14-03
618118|14-03
618119|14-03
618120|14-03
618121|14-03
618122|14-04
618123|14-03
618124|14-03
618125|14-03
618134|15-01
618135|15-01
618136|15-01
618137|15-01
618138|15-01
618139|15-01
618271|07-02
618297|14-02
618298|14-02
618299|14-02
618300|14-02
618300|14-99
618301|14-02
618302|14-02
618303|14-02
618312|13-02
618313|13-03
618314|13-03
618315|19-02
618316|19-02
618317|19-02
618318|19-02
618319|19-02
618320|19-02
618329|25-02
618330|09-03
618331|09-07
618337|09-03
618341|11-02
618342|11-02
618343|11-02
618344|11-02
618346|21-02
618347|14-03
618348|14-02
618349|13-02
618350|14-99
618351|14-03
618352|14-02
618353|14-02
618354|15-05
618355|26-04
618356|26-04
618357|26-04
618358|26-04
618359|14-03
618360|14-01
618372|31-00
618373|31-00
618374|09-01
618375|09-01
618376|09-01
618377|09-01
618378|09-01
618379|09-01
618380|09-03
618380|09-07
618381|09-03
618381|09-07
618382|09-03
