Company_id|Design_id|Publn_auth|Design_Number|Design_filing_date
1|618111|EU|001308803-0001|2012-01-09
1|618112|EU|001308803-0002|2012-01-09
1|618113|EU|001308803-0003|2012-01-09
1|618931|EU|001311591-0001|2012-01-26
1|618932|EU|001311591-0002|2012-01-26
1|618933|EU|001311591-0003|2012-01-26
1|618934|EU|001311591-0004|2012-01-26
1|618935|EU|001311591-0005|2012-01-26
1|618936|EU|001311591-0006|2012-01-26
1|618937|EU|001311591-0007|2012-01-26
1|618938|EU|001311591-0008|2012-01-26
1|618939|EU|001311591-0009|2012-01-26
1|618940|EU|001311591-0010|2012-01-26
1|618941|EU|001311591-0011|2012-01-26
1|618942|EU|001311591-0012|2012-01-26
1|623569|EU|001323869-0001|2012-04-26
1|623570|EU|001323869-0002|2012-04-26
1|623571|EU|001323869-0003|2012-04-26
1|623572|EU|001323869-0004|2012-04-26
1|623573|EU|001323869-0005|2012-04-26
1|623574|EU|001323869-0006|2012-04-26
1|623575|EU|001323869-0007|2012-04-26
1|623576|EU|001323869-0008|2012-04-26
1|623577|EU|001323869-0009|2012-04-26
1|623578|EU|001323869-0010|2012-04-26
1|623579|EU|001323869-0011|2012-04-26
1|623580|EU|001323869-0012|2012-04-26
1|623581|EU|001323869-0013|2012-04-26
1|623582|EU|001323869-0014|2012-04-26
1|623583|EU|001323869-0015|2012-04-26
1|628225|EU|001335160-0001|2012-07-17
1|628226|EU|001335160-0002|2012-07-17
1|630508|EU|001340863-0001|2012-08-24
1|630509|EU|001340863-0002|2012-08-24
1|630510|EU|001340863-0003|2012-08-24
1|630511|EU|001340863-0004|2012-08-24
1|631088|EU|001342554-0001|2012-09-06
1|631089|EU|001342554-0002|2012-09-06
1|631090|EU|001342554-0003|2012-09-06
1|633008|EU|001347306-0001|2012-10-16
1|633444|EU|001348585-0001|2012-10-24
1|633445|EU|001348585-0002|2012-10-24
1|635393|EU|001354336-0001|2012-12-11
1|635394|EU|001354336-0002|2012-12-11
1|636143|EU|001355283-0001|2012-12-20
1|636144|EU|001355283-0002|2012-12-20
1|637216|EU|001357636-0001|2013-01-16
1|639574|EU|001363360-0001|2013-03-07
1|639575|EU|001363360-0002|2013-03-07
1|640084|EU|001364624-0001|2013-03-20
1|640085|EU|001364624-0002|2013-03-20
1|640086|EU|001364624-0003|2013-03-20
1|640087|EU|001364624-0004|2013-03-20
1|640485|EU|001365936-0001|2013-03-28
1|640486|EU|001365936-0002|2013-03-28
1|640487|EU|001365936-0003|2013-03-28
1|640488|EU|001365936-0004|2013-03-28
1|640489|EU|001365936-0005|2013-03-28
