TM_appln_id|NICE_class
5633025|35
5633086|44
5633086|9
5633087|44
5633087|9
5633121|40
5633122|11
5633122|42
5633122|9
5633226|15
5633331|41
5633350|15
5633432|35
5633432|41
5633487|15
5633487|38
5633487|41
5633487|9
5633506|10
5633510|29
5633524|9
5633536|41
5633536|9
5633541|41
5633542|43
5633592|25
5633592|28
5633592|35
5633592|41
5633619|42
5633620|42
5633645|28
5633646|28
5633770|1
5633907|9
5633908|9
5633921|9
5633926|9
5633946|15
5633956|2
5633956|3
5633957|2
5633976|7
5633977|7
5634078|9
5634096|9
5634113|11
5634129|5
5634130|5
5634143|9
5634144|9
5634145|9
5634164|35
5634164|39
5634164|40
5634164|41
5634164|9
5634168|41
5634169|43
5634170|41
5634192|1
5634192|9
5634201|10
5634221|10
5634281|9
5634328|15
5634375|29
5634375|31
5634419|37
5634433|15
5634454|7
5634572|7
5634618|11
5634618|9
5634645|9
5634669|5
5634674|16
5634674|41
5634674|9
5634694|9
5634743|9
5634750|41
5634751|16
5634751|41
5634751|9
5634756|42
5634765|16
5634765|35
5634776|36
5634777|36
5634791|9
5634792|9
5634793|9
5634794|9
5634809|3
5634813|1
5634886|9
5634901|42
5634903|42
5634964|15
5634965|41
5634977|9
5634992|11
5634993|9
5634997|36
5634998|36
5635029|36
5635052|16
5635092|7
5635094|5
5635143|7
5635215|10
5635215|5
5635258|11
5635258|42
5635258|9
5635259|7
5635372|9
5635374|9
5635385|11
5635386|11
5635462|42
5635462|9
5635463|10
5635463|5
5635549|2
5635549|9
5635550|2
5635550|9
5635565|20
5635620|41
5635696|5
5635697|5
5635838|35
5635838|44
5635960|42
5635960|9
5635975|9
5635986|15
5636012|5
5636055|7
5636154|9
5636172|14
5636236|41
5636304|2
5636306|16
5636306|41
5636306|9
5636418|9
5636446|35
5636446|37
5636504|35
5636504|37
5636516|9
5636517|9
5636546|12
5636560|9
5636561|9
5636616|11
5636616|12
5636616|16
5636616|35
5636616|7
5636616|9
5636687|41
5636687|9
5636732|9
5636741|5
5636786|12
5636787|11
5636818|5
5636819|5
5636961|9
5636985|1
5636992|5
5637029|36
5637047|9
5637052|9
